Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
"Mad Max, salvajes de autopista",1979,16+,93 min,"Acción, Ciencia ficción y fantásticas, Clásicas",George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Tim Burns, Roger Ward, Lisa Aldenhoven, Bertrand Cadart","Australia, Estados Unidos",6.9/10,Netflix
María Antonieta,2006,13+,123 min,"Dramas, Románticas",Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Judy Davis, Rip Torn, Rose Byrne, Asia Argento, Molly Shannon, Shirley Henderson, Danny Huston, Marianne Faithfull","Estados Unidos, Francia, Japón",6.4/10,Netflix
Nailed It,2020,7+,4 temporadas,"Estadounidenses, Realities y talk shows",NA,"Nicole Byer, Jacques Torres",Estados Unidos,7.4/10,Netflix
No es otra estúpida película americana,2001,16+,89 min,Comedias,Joel Gallen,"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Ron Lester, Cody McMains, Sam Huntington, Lacey Chabert, JoAnna Garcia Swisher, Samm Levine, Cerina Vincent",Estados Unidos,5.7/10,Netflix
One direction; Así somos,2013,TODOS LO,92 min,"Documentales, Música y musicales",Morgan Spurlock,"Harry Styles, Niall Horan, Zayn Malik, Louis Tomlinson, Liam Payne",Estados Unidos,4.2/10,Netflix
Pompoko,1994,13+,119 min,"Anime, Extranjeras, Para toda la familia",Isao Takahata,"Kokondei Shinchou, Makoto Nonomura, Yuriko Ishida, Norihei Miki, Nijiko Kiyokawa, Shigeru Izumiya, Gannosuke Ashiya, Takehiro Murata, Shozo Hayashiya, Akira Fukuzawa, Yorie Yamashita, Beichou Katsura, Bunshi Katsura, Kosan Yanagiya, Akira Kamiya",Japón,7.3/10,Netflix
Ponyo en el acantilado,2008,7+,102 min,"Anime, Para toda la familia, Premiadas",Hayao Miyazaki,"Tomoko Yamaguchi, Kazushige Nagashima, Yuki Amami, George Tokoro, Hiroki Doi, Yuria Nara, Akiko Yano, Kazuko Yoshiyuki, Tomoko Naraoka",Japón,7.7/10,Netflix
Salidos de cuentas,2010,13+,95 min,"Acción, Comedias",Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh",Estados Unidos,6.5/10,Netflix
Sunderland 'Til I Die,2020,7+,2 temporadas,"Británicas, Docuseries, Extranjeras",NA,NA,Reino Unido,8.1/10,Netflix
Susurros del corazón,1995,7+,111 min,"Anime, Para toda la familia",Yoshifumi Kondo,"Yoko Honna, Kazuo Takahashi, Takashi Tachibana, Shigeru Muroi, Shigeru Tsuyuguchi, Keiju Kobayashi, Yorie Yamashita, Minami Takayama, Maiko Kayama, Yoshimi Nakajima, Mayumi Iizuka",NA,NA,Netflix
The Iliza Shlesinger Sketch Show,2020,13+,1 temporada,"Comedias, Estadounidenses",NA,"Ilana Becker, Kerry Coddett, Tarik Davis, Matthew Dellapina, David Ebert, Stink Fisher, Iliana Inocencio, Iliza Shlesinger",Estados Unidos,4.8/10,Netflix
The Windsors,2020,13+,3 temporadas,"Británicas, Comedias, Extranjeras",NA,"Harry Enfield, Haydn Gwynne, Hugh Skinner, Louise Ford, Richard Goulding, Matthew Cottle, Morgana Robinson, Celeste Dring, Katy Wix, Ellie White",Reino Unido,7.0/10,Netflix
Un equipo legendario,2014,13+,115 min,Dramas,Thomas Carter,"Jim Caviezel, Michael Chiklis, Alexander Ludwig, Clancy Brown, Laura Dern, Matthew Daddario, Joe Massingill, Jessie Usher, Ser'Darius Blain, Stephan James",Estados Unidos,6.7/10,Netflix
Underworld: La rebelión de los licántropos,2009,16+,93 min,"Acción, Ciencia ficción y fantásticas, Terror",Patrick Tatopoulos,"Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux, David Aston, Geraldine Brophy, Leighton Cardno, Alex Carroll, Elizabeth Hawthorne, Jason Hood","Estados Unidos, Nueva Zelanda",6.6/10,Netflix
Vicky el vikingo,2009,7+,84 min,"Comedias, Para toda la familia",Michael Herbig,"Olaf Krätke, Jörg Moukaddam, Ankie Beilke, Jürgen Vogel, Christian Koch, Günther Kaufmann, Patrick Reichel, Mercedes Jadea Diaz, Christoph Maria Herbst, Nic Romm, Waldemar Kobus, Mike Maas, Jonas Hämmerle",Alemania,5.5/10,Netflix
Bee Movie,2007,7+,92 min,"Comedias, Para toda la familia","Steve Hickner, Simon J. Smith","Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta","Estados Unidos, Australia",6.1/10,Netflix
Bodies at Rest,2018,16+,94 min,"Acción, Extranjeras",Renny Harlin,"Nick Cheung, Richie Ren, Yang Zi, Feng Jiayi, Carlos Chan, Ma Shuliang, Jin Auyeung, Roger Kwok Chun On, Ron Ng, Sonija Kwok, Ming Peng, Clara Lee","China, Hong Kong",5.6/10,Netflix
Cómo entrenar a tu dragón,2010,7+,99 min,"Para toda la familia, Premiadas","Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Robin Atkin Downes",Estados Unidos,8.1/10,Netflix
Conan el bárbaro,2011,16+,113 min,"Acción, Ciencia ficción y fantásticas",Marcus Nispel,"Jason Momoa, Rachel Nichols, Stephen Lang, Rose McGowan, Saïd Taghmaoui, Leo Howard, Ron Perlman, Steven O'Donnell, Raad Rawi, Nonso Anozie","Estados Unidos, Bulgaria, Alemania, India",5.2/10,Netflix
Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,2020,13+,85 min,Comedias,NA,NA,Estados Unidos,7.4/10,Netflix
El asesino,2007,16+,99 min,Acción,Philip G. Atwell,"Jet Li, Jason Statham, John Lone, Devon Aoki, Luis Guzmán, Saul Rubinek, Sung Kang, Mathew St. Patrick, Nadine Velazquez, Andrea Roth, Mark Cheng, Kane Kosugi, Ryo Ishibashi, Steph Song","Estados Unidos, Canadá",6.2/10,Netflix
El Gato con Botas,2011,7+,92 min,"Comedias, Para toda la familia",Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Mike Mitchell",Estados Unidos,6.6/10,Netflix
El origen de los guardianes,2012,7+,99 min,Para toda la familia,Peter Ramsey,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher, Hugh Jackman",Estados Unidos,7.3/10,Netflix
El reino prohibido,2008,16+,100 min,"Acción, Ciencia ficción y fantásticas",Rob Minkoff,"Jackie Chan, Jet Li, Collin Chou, Liu Yifei, Li Bingbing, Michael Angarano, Morgan Benoit, Juana Collignon, Wang Deshun, Thomas McDonell","Estados Unidos, China",6.6/10,Netflix
Hermosas criaturas,2013,13+,119 min,"Ciencia ficción y fantásticas, Dramas, Románticas",Richard LaGravenese,"Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis, Emmy Rossum, Emma Thompson, Thomas Mann",Estados Unidos,6.1/10,Netflix
Kung Fu Panda,2008,7+,94 min,"Comedias, Para toda la familia, Premiadas","John Stevenson, Mark Osborne","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, Randall Duk Kim, James Hong",Estados Unidos,7.5/10,Netflix
Kung Fu Panda 2,2011,7+,93 min,"Comedias, Para toda la familia, Premiadas",Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, James Hong, Michelle Yeoh",Estados Unidos,7.2/10,Netflix
La mujer de negro,2012,16+,95 min,"Extranjeras, Terror, Thrillers",James Watkins,"Daniel Radcliffe, Ciarán Hinds, Janet McTeer, Liz White, Roger Allam, Tim McMullan, Jessica Raine, Daniel Cerqueira, Shaun Dooley, Mary Stockley","Reino Unido, Canadá, Estados Unidos, Suecia",6.4/10,Netflix
La sombra de la traición,2011,13+,94 min,Acción,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan, Stephen Moyer, Chris Marquette, Odette Annable, Stana Katic, Yuri Sardarov","Estados Unidos, Emiratos Árabes Unidos",5.9/10,Netflix
Líbranos del mal,2014,16+,119 min,"Terror, Thrillers",Scott Derrickson,"Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy, Dorian Missick, Sean Harris, Joel McHale, Mike Houston, Lulu Wilson",Estados Unidos,6.2/10,Netflix
Madagascar,2005,7+,87 min,"Comedias, Para toda la familia","Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Christopher Knights, Chris Miller",Estados Unidos,6.9/10,Netflix
Madagascar 2,2008,7+,91 min,"Comedias, Para toda la familia","Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Bernie Mac, Alec Baldwin, Sherri Shepherd",Estados Unidos,6.6/10,Netflix
Madagascar 3: De marcha por Europa,2012,7+,96 min,"Comedias, Para toda la familia","Eric Darnell, Tom McGrath, Conrad Vernon","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Frances McDormand, Jessica Chastain, Bryan Cranston, Martin Short",Estados Unidos,6.8/10,Netflix
Megamind,2010,7+,97 min,"Ciencia ficción y fantásticas, Comedias, Para toda la familia",Tom McGrath,"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill, David Cross, Ben Stiller, Justin Theroux, Jessica Schulte, Tom McGrath, Emily Nordwind",Estados Unidos,7.2/10,Netflix
Ratónpolis,2006,7+,85 min,"Comedias, Para toda la familia","David Bowers, Sam Fell","Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno, Bill Nighy, Andy Serkis, Shane Richie","Reino Unido, Estados Unidos",6.6/10,Netflix
Solomon Kane,2009,16+,100 min,"Acción, Ciencia ficción y fantásticas, Extranjeras",M.J. Bassett,"James Purefoy, Pete Postlethwaite, Rachel Hurd-Wood, Alice Krige, Jason Flemyng, Mackenzie Crook, Patrick Hurd-Wood, Max von Sydow","República Checa, Reino Unido, Francia",6.1/10,Netflix
Through My Father's Eyes: The Ronda Rousey Story,2019,13+,104 min,Documentales,Gary Stretch,Ronda Rousey,"Canadá, Estados Unidos",6.2/10,Netflix
Vecinos invasores,2006,7+,85 min,"Comedias, Para toda la familia","Tim Johnson, Karey Kirkpatrick","Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes, William Shatner, Nick Nolte, Thomas Haden Church, Allison Janney, Eugene Levy, Catherine O'Hara",Estados Unidos,6.7/10,Netflix
Wallace & Gromit. La maldición de las verduras,2005,7+,86 min,"Comedias, Para toda la familia, Premiadas","Steve Box, Nick Park","Peter Sallis, Ralph Fiennes, Helena Bonham Carter, Peter Kay, Nicholas Smith, Liz Smith, John Thomson, Mark Gatiss","Reino Unido, Estados Unidos",7.4/10,Netflix
Pablo,2017,TODOS LO,1 temporada,"Británicas, Infantiles",NA,"Jake Williamson, Rachael Dickson, Sumita Majumdar, Michael White, Tony Finnegan, Scott Mulligan, Rosie King",Reino Unido,7.2/10,Netflix
Itaewon Class,2020,13+,1 temporada,"Dramas, Extranjeras",NA,"Park Seo-jun, Kim Da-mi, Yu Jae-myeong, Kwon Na-ra, Kim Dong-hee, Ahn Bo-hyun, Kim Hye-eun, Ryu Gyeong-su, Lee Joo-young, Chris Lyon",Corea del Sur,8.2/10,Netflix
Jane The Virgin,2019,13+,5 temporadas,"Comedias, Dramas, Estadounidenses",NA,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni, Ivonne Coll, Brett Dier, Jaime Camil, Anthony Mendez",Estados Unidos,7.8/10,Netflix
PJ Masks,2018,TODOS LO,2 temporadas,Infantiles,NA,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley","Francia, Reino Unido",5.6/10,Netflix
Cuentos del lago: Billy Brinco y los guardianes,2019,TODOS LO,72 min,Para toda la familia,Zsolt Pálfi,"Csongor Szalay, Anna Kubik, Sári Vida, András Faragó, Róbert Bolla",Hungría,6.5/10,Netflix
Del desguace a la gloria,2020,7+,2 temporadas,"Estadounidenses, Realities y talk shows",NA,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",,8.8/10,Netflix
Dragones al rescate: A la caza del Dragón Dorado,2020,TODOS LO,46 min,"Comedias, Para toda la familia","TJ Sullivan, Greg Rankin","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Jeff Bennett, Grey Griffin, Mary Elizabeth McGlynn",Estados Unidos,5.7/10,Netflix
El declive,2020,16+,83 min,"Acción, Extranjeras",Patrice Laliberté,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé, Marc-André Grondin, Marc Beaupré, Marilyn Castonguay, Guillaume Cyr, Isabelle Giroux, Juliette Maxyme Proulx",Canadá,5.9/10,Netflix
El día menos pensado,2020,7+,1 temporada,"Docuseries, Españolas, Extranjeras","José Larraza, Marc Pons",NA,NA,NA,Netflix
El sumiller,2020,13+,104 min,"Dramas, Independientes",Prentice Penny,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère, Bernard D. Jones, Gil Ozeri, Matt McGorry, Meera Rohit Kumbhani",Estados Unidos,6.2/10,Netflix
Hay algo en el agua,2019,13+,72 min,"Documentales, Extranjeras","Ellen Page, Ian Daniel",Ellen Page,Canadá,6.8/10,Netflix
La marca del demonio,2020,16+,81 min,"Extranjeras, Independientes, Terror",Diego Cohen,"Eduardo Noriega, Eivaut Rischen, Arantza Ruiz, Omar Fierro, Nicolasa Ortíz-Monasterio, Oliver Nava, Lumi Cavazos",México,3.2/10,Netflix
Ladies Up,2019,13+,1 temporada,"Comedias, Extranjeras, Monólogos de humoristas",NA,"Prashasti Singh, Kaneez Surka, Niveditha Prakasam, Supriya Joshi",India,4.3/10,Netflix
Maska,2020,7+,112 min,"Comedias, Dramas, Extranjeras",Neeraj Udhwani,"Manisha Koirala, Prit Kamani, Shirley Setia, Nikita Dutta, Javed Jaffrey, Dhruv Lohumi",India,5.9/10,Netflix
Trixie Mattel: Moving Parts,2019,13+,91 min,"Documentales, Música y musicales",Nicholas Zeig-Owens,Brian Firkus,Estados Unidos,7.3/10,Netflix
Vera: El día de los yujihuevis,2020,TODOS LO,24 min,Para toda la familia,"Todd Kauffman, Mark Thornton","Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",Canadá,6.1/10,Netflix
7SEEDS,2020,13+,2 temporadas,"Anime, Extranjeras",NA,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi, Yoko Soumi, Kana Asumi, Akira Ishida, Aoi Yuki, Kazuhiko Inoue, Yoko Hikasa, Hirofumi Nojima, Ryotaro Okiayu, Eri Kitamura, Mamiko Noto, Ryo Hirohashi, Shizuka Ito, Hisao Egawa, Mayumi Asano, Kenta Miyake, Ai Kakuma, Kaito Ishikawa, Mikako Komatsu, Daisuke Sakaguchi, Takanori Hoshino, Kenjiro Tsuda, Nozomu Sasaki, Kenji Nojima, Houko Kuwashima, Kensho Ono, Takahiro Sakurai, Haruka Chisuga, Yu Shimamura, Takuma Terashima, Takuya Sato, Junko Minagawa, Masashi Sugawara, Sho Hayami, Kazuyuki Okitsu, Minako Kotobuki",NA,6.4/10,Netflix
Así se hizo Unorthodox,2020,TODOS LO,21 min,"Documentales, Extranjeras",Marlene Melchior,NA,Alemania,6.7/10,Netflix
Bethany Hamilton: Unstoppable,2019,7+,100 min,"Documentales, Para toda la familia",Aaron Lieber,Bethany Hamilton,Estados Unidos,7.4/10,Netflix
Black Lightning,2019,13+,3 temporadas,"Acción, Ciencia ficción y fantásticas, Dramas",NA,"Cress Williams, James Remar, Marvin 'Krondon' Jones III, Jill Scott, China Anne McClain, Damon Gupton, Nafessa Williams, Christine Adams",Estados Unidos,6.1/10,Netflix
Happy Old Year,2019,7+,113 min,"Dramas, Extranjeras, Románticas",Nawapol Thamrongrattanarit,"Chutimon Chuengcharoensukying, Sunny Suwanmethanont, Sarika Sartsilpsupa, Thirawat Ngosawang, Apasiri Nitibhon, Patcha Kitchaicharoen",Tailandia,7.3/10,Netflix
Knightfall,2019,16+,2 temporadas,"Dramas, Estadounidenses",NA,"Tom Cullen, Jim Carter, Pádraic Delaney, Simon Merrells, Julian Ovenden, Olivia Ross, Ed Stoppard, Sabrina Bartlett, Bobby Schofield, Sarah-Sofie Boussnina",Estados Unidos,6.8/10,Netflix
Unorthodox,2020,13+,1 temporada,"Dramas, Extranjeras",NA,"Shira Haas, Amit Rahav, Jeff Wilbusch, Alex Reid, Ronit Asheri, Delia Mayer, Dina Doronne, David Mandelbaum, Yousef Sweid, Dennenesch Zoudé, Isabel Schosnig, Aaron Altaras, Tamar Amit-Joseph, Safinaz Sattar, Langston Uibel, Aziz Dyab",Alemania,8.0/10,Netflix
Crip Camp: A Disability Revolution,2020,13+,108 min,Documentales,NA,NA,Estados Unidos,7.8/10,Netflix
Curtiz,2018,16+,99 min,"Dramas, Extranjeras",Tamas Yvan Topolanszky,"Ferenc Lengyel, Evelin Dobos, Declan Hannigan, Scott Alexander Young, József Gyabronka, Nikolett Barabas, Yan Feldman, Rafael Feldman, Christopher Krieg, Andrew Hefler, Lili Bordán",Hungría,6.0/10,Netflix
En la ciénaga,2018,16+,1 temporada,"Dramas, Extranjeras, Policiacas",Jan Holoubek,"Andrzej Seweryn, Dawid Ogrodnik, Zofia Wichłacz, Magdalena Walach, Piotr Fronczewski, Agnieszka Żulewska, Ireneusz Czop, Zbigniew Waleryś, Jacek Beler, Nel Kaczmarek",Polonia,6.9/10,Netflix
Hogar,2020,16+,104 min,"Españolas, Extranjeras, Independientes","Àlex Pastor, David Pastor","Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz",España,6.3/10,Netflix
Tom Segura: Ball Hog,2020,16+,70 min,Películas,Rami Hachache,Tom Segura,Estados Unidos,7.3/10,Netflix
White Boy,2017,13+,83 min,Documentales,Shawn Rech,Richard Wershe Jr.,NA,NA,Netflix
J-Style Trip,2020,7+,1 temporada,"Extranjeras, Realities y talk shows",NA,"Jay Chou, Jam Hsiao, JJ Lin, Will Tsai, Chen Chien-chou, Funky Tu, Norman Chen","Taiwán, China",5.5/10,Netflix
"Tadeo, el explorador perdido 2: El secreto del rey Midas",2017,7+,81 min,"Españolas, Para toda la familia, Premiadas","Enrique Gato, David Alonso","Trevor White, Joseph Balderrama, Alex Kelly, Ramon Tikaram, Gemma Whelan, Lewis Mcleod, Adriana Ugarte, Luis Posada, Michelle Jenner","España, Estados Unidos",6.2/10,Netflix
Carta al rey,2020,7+,1 temporada,"Acción, Británicas, Ciencia ficción y fantásticas",NA,"Amir Wilson, Ruby Ashbourne Serkis, Thaddea Graham, Islam Bouakkaz, Jonah Lees, Jack Barton, Nathanael Saleh, Emilie Cocquerel, Gijs Blom, Kemi-Bo Jacobs, David Wenham, Omid Djalili, Peter Ferdinando",Reino Unido,5.9/10,Netflix
Dino Girl Gauko,2020,7+,2 temporadas,"Anime, Infantiles",NA,"Naoko Matsui, Hiroshi Kamiya, Kazue Ikura, Chafurin, Chie Kojiro, Mari Mashiba, Ryoko Shiraishi, Hidekatsu Shibata, Tadashi Miyazawa, Sonosuke Hattori, Karen, Yui Toita, Izu Konishi, Eri Ozaki, Risa Nakamura, Tomoyo Chujo, Takuro Hijioka, Sawako Yoshida, Chika Okubo, Yuri Fujiwara, Tomomi Yamakawa, Hikaru Yuki, Miyako Kobayashi, Mutsuki Arisawa, Koharu Nogata, Tomoka Kuzutani, Madoka Yokoyama, Madoka Hiraide, Ayako Takamura, Yuki Arimoto, Yuto Kazama, Arisa Takami, Chika Sakamoto","Estados Unidos, Japón",6.9/10,Netflix
El hoyo,2019,18+,94 min,"Españolas, Extranjeras, Independientes",Galder Gaztelu-Urrutia,"Iván Massagué, Antonia San Juan, Zorion Eguileor, Emilio Buale, Alexandra Masangkay",España,7.0/10,Netflix
El silencio es bienvenido,2017,13+,95 min,"Dramas, Extranjeras, Independientes",Gabriela García Rivas,"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",México,4.6/10,Netflix
Fangio: El hombre que domaba las máquinas,2020,7+,93 min,"Documentales, Extranjeras",Francisco Macri,NA,Argentina,6.8/10,Netflix
Feel Good,2020,16+,1 temporada,"Comedias, Dramas, Estadounidenses",Ally Pankiw,"Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson, Tom Andrews, Tobi Bamtefa, Phil Burgers, Ophelia Lovibond, Adrian Lukis, Ritu Arya, Ramon Tikaram",Reino Unido,7.5/10,Netflix
Greenhouse Academy,2020,7+,4 temporadas,"Dramas, Infantiles, Juveniles",NA,"Ariel Mortman, Finn Roberts, Chris O'Neal, Dallas Hart, Cinthya Carmona, Grace Van Dien, Benjamin Papac, Jessica Amlee, BJ Mitchell, Aviv Buchler, Nadine Ellis, Yiftach Mizrahi, Parker Stevenson, Ishai Golan, Selina Giles, Reina Hardesty",Estados Unidos,7.0/10,Netflix
Hinchas radicales,2020,16+,109 min,"Dramas, Extranjeras",Francesco Lettieri,"Aniello Arena, Antonia Truppo, Ciro Nacca, Simone Borelli, Daniele Vicorito, Salvatore Pelliccia",Italia,5.9/10,Netflix
La próxima gran aventura de Archibaldo,2020,TODOS LO,2 temporadas,"Comedias, Infantiles",NA,"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,7.9/10,Netflix
Madam C. J. Walker: Una mujer hecha a sí misma,2020,13+,1 temporada,"Dramas, Estadounidenses",NA,"Octavia Spencer, Tiffany Haddish, Carmen Ejogo, Blair Underwood, Garrett Morris, Kevin Carroll",Estados Unidos,7.3/10,Netflix
She,2020,16+,1 temporada,"Dramas, Extranjeras, Policiacas",NA,"Aaditi Pohankar, Vijay Varma, Vishwas Kini, Kishore Kumar G., Shivani Rangole, Suhita Thatte, Sandeep Dhabale, Saqib Ayub",India,6.5/10,Netflix
Un juego de caballeros,2020,13+,1 temporada,"Británicas, Dramas, Extranjeras",NA,"Edward Holcroft, Kevin Guthrie, Charlotte Hope, Niamh Walsh, Craig Parkinson, James Harkness, Ben Batt, Gerard Kearns, Henry Lloyd-Hughes",Reino Unido,7.6/10,Netflix
Vampiros,2020,16+,1 temporada,"Ciencia ficción y fantásticas, Dramas, Extranjeras",NA,"Oulaya Amamra, Suzanne Clément, Kate Moran, Mounir Amamra, Aliocha Schneider, Juliette Cardinski, Pierre Lottin, Dylan Robert, Bilel Chegrani, Antonia Buresi, Marilu Marini, Ayumi Roux",Francia,5.5/10,Netflix
Altered Carbon: Reenfundados,2020,16+,75 min,"Acción, Anime, Ciencia ficción y fantásticas","Takeru Nakajima, Yoshiyuki Okada","Tatsuhisa Suzuki, Rina Satou, Ayaka Asai, Jouji Nakata, Kenji Yamauchi, Kanehira Yamamoto, Koji Ishii","Japón, Estados Unidos",6.5/10,Netflix
Masameer - The Movie,2020,13+,100 min,"Comedias, Extranjeras",Malik Nejer,"Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel",Arabia Saudí,6.0/10,Netflix
Kalifat,2020,16+,1 temporada,"Dramas, Extranjeras",NA,"Aliette Opheim, Gizem Erdogan, Amed Bozan, Albin Grenholm, Nora Rios, Yussra El Abdouni, Amanda Sohrabi, Lancelot Ncube, Simon Mezher, Ala Riani",Suecia,8.2/10,Netflix
Las aventuras de Tintín,1992,7+,1 temporada,"Acción, Infantiles",NA,"Colin O'Meara, Thierry Wermuth, Christian Pellissier, David Fox, Henri Labussière, Yves Barsacq, Jean-Pierre Moulin, Susan Roman, Wayne Robson, John Stocker, Dan Hennessey","Francia, Canadá, Bélgica, Estados Unidos",8.3/10,Netflix
